start	end	text
473200	477880	witness as you say yes to your freedom yes to your liberation
480400	488560	Witness as you say yes to the limitlessness of you, to the boundless elements of you.
491460	499840	Witness as you say yes to choice, yes to the capacity to say yes or no.
505140	508160	witness as you say yes to the vastness of you
512820	515280	yes to the interconnectedness of you
522180	523580	just breathing a witnessing
532520	541920	Now bringing your awareness to the human as an avatar for all of this vastness, all of
541920	544260	this infinite expression.
549340	552100	Give thanks to the human that you are.
557160	562280	And as you take up consciousness within your human,
566080	569820	this is where you activate all of the areas where
572720	575600	you say no so you can say a deeper yes.
582160	584440	Saying no to be minimizing,
587280	591760	to being minimized, to being less of,
592200	596380	to being contracted by the thoughts of another,
598320	600160	by the ideas of another.
603740	607300	Being able to recognize this with ease, with grace,
611600	615360	and being able to transmute this with ease and grace.
621500	624780	Being able to alchemize this with ease and grace.
632900	640120	Saying no to all of the spaces that you have minimized your own self,
641380	644120	have considered your own self to be less than,
645660	648460	have considered your own self to be not enough,
651680	655660	and opening up so that you can transmute this with ease and grace.
658020	659920	alchemize this with ease and grace.
661660	664420	Shift and transform this with ease and grace.
669280	676440	Saying no to all of the spaces where you hold on to pain, to trauma, to past hurts,
678700	680880	because there's familiarity there.
686380	702200	But in essence, you're holding onto them long past where the lesson was learned, where the divine intelligence within the center of it has been received.
705100	711520	And where any usefulness of it no longer exists.
716380	720780	So allowing for this to be alchemized with grace and ease,
720980	723860	for the letting go process to happen with grace and ease,
725540	729360	for the transformation and transmutation to occur with grace and ease.
747280	752200	all of the ways where there's been contractions that have come through the lineage
754860	758180	and it doesn't really matter where these contractions have come from
758180	762800	but that they're in your field or in their and in your
765500	767200	consciousness and awareness
769720	771680	in a way that feels rooted
774760	781600	just allowing for that to be released, allowing for that root, those roots to be let go of
783580	785380	with grace and with ease,
788600	791700	allowing the transformation to occur with grace and ease,
794440	796620	alchemization occurring with grace and ease.
815700	821240	All of the ways that there's been reductions because of being a woman,
823660	831000	whether there's been violations or whether there's been perspectives, ways of seeing,
833460	839720	that have led to an experience of being reduced as a woman,
842360	847240	bringing intelligence, divine intelligence, right at the core of that,
849040	855080	so that there's a deep-seated know that is said,
855180	857320	and with that know comes a transmutation,
860820	861300	transformation,
870480	870960	alchemization,
875660	878000	and all of this occurs with grace and ease.
891780	901500	Anywhere where there's wounds in terms of sister wounds or brother wounds, fatherly wounds, motherly wounds.
909260	910820	Releasing, letting go.
914120	920340	saying no so that you can say yes to alignment,
921540	926360	to greater expansion, to more loving relationships,
930760	938940	transmuting, transforming, alchemizing, releasing,
940820	941880	with grace and ease.
949120	951840	Anywhere where there's contraction around resources,
951840	957320	around the capacity to receive, around the capacity to give,
960440	967060	around the capacity to welcome in, streams of income, money,
967060	969900	being paid
973700	976040	creating services
976040	977800	being served
980500	984020	all of the ways where there's reciprocity
986000	987400	exchange
989120	992240	and where there could be
992240	994240	contractions and limitations
994240	995720	reductions
997060	1007000	center of all of that, bringing divine intelligence to the sacred know that allows for the release,
1007280	1014620	the letting go, the alchemization, transformation and transmutation, all with grace and ease.
1024600	1027380	saying no to all of the ways that
1034240	1037920	there's a reduction in the way that we put ourselves down
1039720	1041300	making ourselves wrong
1048780	1061520	The inner dialogue that doesn't serve, that takes away from, that minimizes, that reduces.
1065940	1071300	The ways of seeing yourself that are less than loving.
1075940	1080320	that are not life-affirming, that might be toxic.
1085420	1089400	Just bringing divine intelligence to the center of all of that.
1093500	1096040	And just witnessing the sacred know
1098000	1101420	that allows for the release, for the transmutation,
1103360	1106080	for the transformation, for the alchemization,
1107060	1108600	all with grace and ease.
1120540	1124820	And just witnessing and feeding into where there might be sacred no's
1124820	1126900	that are more personal to you.
1147320	1151580	Anywhere that you're stopping your growth, anywhere that you're stopping your evolution,
1154240	1156200	anywhere that you're stopping life.
1164960	1167740	Anywhere that advancement is being stopped.
1171340	1172900	Progression is being stopped.
1178320	1182960	Allowing for the release, for the letting go, for the alchemization, for the transmutation.
1183640	1185020	All with grace and ease.
1193760	1197840	Anywhere where you think it's not possible for you to actually have what you desire.
1199100	1206240	Anywhere where you think it is not possible for you not to struggle.
1207840	1212380	It's not possible for you not to have surplus.
1219240	1221940	It's not possible for you not to have ease.
1230260	1233420	It's not possible for you to have resources.
1233420	1238680	anywhere where you're stopping that sense of
1241080	1245060	or limiting that sense of abundance
1246480	1250180	that sense of having that sense of being fulfilled
1250180	1255500	that sense of surplus to releasing letting go
1262180	1262980	transmutation
1264060	1264860	transformation
1264860	1266120	alchemization
1266120	1266920	with grace and
1266920	1267180	grace
1271280	1272440	anywhere where
1272440	1273300	there may be
1273300	1274500	vows of poverty
1277320	1278520	where there might
1278520	1279920	be vows of
1281460	1282260	less
1285240	1291520	anywhere where power has been given to others because the assumption is that you can't look
1291520	1292300	after yourself
1300580	1307880	anywhere where there hasn't been a sense of grown being grown or growing up or adulting
1309960	1313740	in terms of resources, in terms of owning resources,
1313980	1315820	in terms of earning resources.
1320420	1323040	It's releasing and letting all of that go.
1324920	1328400	Grace, ease, alchemization.
1335000	1336400	Transformation, transmutation.
1338560	1339740	with grace and ease.
1356720	1359080	Anywhere where the gifts of the soul are being blocked,
1363900	1371880	maybe it's because of something that was said in childhood maybe it's because of limited perspective
1372960	1377040	maybe it's because of just not knowing how and not thinking that there's a way
1381540	1385720	releasing letting go transforming transmutating
1390960	1395720	transmuting alchemizing with grace and ease
1407160	1414240	anywhere where there's a block around sensuality around being a woman around being able to grow
1415720	1418040	around being able to create things.
1431100	1438940	Anywhere where there's less than loving ways of seeing yourself.
1445720	1453220	It's releasing, letting go, transforming, transmuting, alchemizing with grace and use.
1458000	1466660	And this can move on, this can go forward into your day and you can continue throughout the day just alchemizing and letting go.
1466820	1470700	But the ultimate thing is to bring your perspective.
1471100	1473860	And again, this is all about schooling the human.
1475720	1484120	it back into alignment with the fullness of yourself as a divine expression that has access
1484120	1485820	to an entire universe.
1492560	1501540	And releasing and letting go any limitations or any saying no to anything that contracts
1501540	1508840	so you are unable to connect to this access that you have to an entire universe.
1516380	1526400	Giving thanks, bringing the energy back into the solar plexus,
1528180	1531040	bringing your awareness back into your body
1535760	1539260	and just allowing for this deeper release to occur
1541560	1544720	with absolute grace and ease
1548320	1550540	water would be a very good thing
1554240	1560960	yeah water and and um making sure that you're hydrating would be a very very good thing after all of that
