start	end	text
693020	696960	Witness a space where life meets life.
698040	700020	Aliveness meets aliveness.
701700	703720	Appreciation meets appreciation.
704820	706440	Love meets love.
710520	713000	Notice how natural all of this is.
728520	739220	And now witness as this moves out into the cosmos, into all of the
740740	746440	the multitude of linear expressions of you and beyond.
750020	753960	All the humming and vibrating with appreciation,
754240	758100	with gratitude, with life and with yes.
770600	778920	You become a light that reflects the sun as the moon reflects the sun.
784260	792300	You become amplified by this light of the sun as the moon is amplified by the light of the sun.
796480	803340	And this entire revelation that occurs at the full moon, where every aspect of the face
803340	809200	of the moon is lit up, is also being felt in you.
812120	817140	As every aspect of your own self is lit up with your aliveness, with your appreciation,
817140	821160	with your fulfillment, with your sense of yes.
827020	829920	Just taking a moment to ruminate in this energy.
845500	850020	And noticing that when you give yourself the time to do this,
851180	857720	you give yourself the gift of allowing the universe
858980	861300	to respond to you as this.
875760	877980	Appreciate everything that you've received.
881800	884300	Appreciate all of the ways that you loved.
889720	894860	Appreciate all of the people that are around you that see you and love you as you are.
899900	901820	Appreciate all of the joys.
907040	914500	Appreciate all of the contractions and the challenges as they've brought you into empowered places within yourself.
918640	922300	appreciate your capacity to see divinity in everything
927020	934140	appreciate your creativity and all of the ways that the divine chooses to express through you
941380	944800	Appreciate how unique you are as a thumbprint of source.
950840	954060	Appreciate the space that you've been given on this planet.
957760	962400	It is an opportunity that is prized.
964140	972060	and it's not given to every single being that desires to be here but it was given to you
979380	985960	appreciation for this planet and the way that it holds you the way that it allows you to be a guest
987180	994440	to express yourself in this unique, original, divine way.
1002060	1007160	And you could just take a moment to appreciate and say thank you for all of the
1008080	1013040	personal things that have happened in the course of the last month,
1013940	1017440	in the course of the last year.
1018680	1020900	Whatever feels in alignment for you.
1062480	1067340	It's just bringing your energy back to the center of your heart.
1069380	1077080	and with it, bringing this sense of appreciation and gratitude and aliveness and yes and love
1077980	1080120	to the center of your heart space.
1084240	1087180	Knowing that you can come back to this at any point.
1096980	1099300	And when you're ready, just open your eyes.
