start	end	text
754920	761560	there's a phase in in both of those elements of the cycle where we surrender
765880	769580	where we say i have done my part
771700	773600	universe is now your move
776300	778400	where we completely let god
780520	790420	and this is so much a necessary part of the phase because this is a part where we are able to tap
790420	799480	into the universality of us that will always surpass the human mind the human capacity
799480	806040	the human experience the human limitations
814220	821500	and this is the place where quantum occurs the quantum leap the quantum change the quantum shift
821500	829200	the quantum transformation and when we speak the language of quantum in this place we just speak
829200	838720	the language of naturally becoming the butterfly naturally becoming the the dragonfly naturally
838720	846920	metamorphosis occurs and that metamorphosis to the human is not completely understood because
846920	851040	a human knows only the limits of what it's been shown
855960	864920	and beautiful as that is it doesn't include the limitless it doesn't include
864920	873680	the boundless it doesn't include abundance even a lot of the times
875260	885680	and so in this pattern of surrendering we release the limitations of our human confinement
885680	893960	and we allow soul divinity to bring forward the limitless
897920	899200	omnipresent element
902120	909260	that leads to the transformation for us that for a lot of times when this occurs when we're
909260	914760	allowing the surrender and we're allowing the shift of the energy to move forward within us
914760	921520	within the very being of us within the cellular structure of us without any barriers or boundaries
921520	926420	or the head looping around something or the holding on to something
926420	931520	or the sense of we can't, we can't.
931800	934380	If we could just breathe and let go,
935900	942240	the human is always delighted and surprised by what can occur.
945820	949120	And this becomes a process of training.
949120	951560	It becomes a process of alchemy.
951760	955140	It becomes a process of magic even, you can say.
955780	962200	And magic in this way is just coming out of what we think we know
962200	966160	and being shown something completely different.
968560	970960	Something that we didn't even know was there.
973180	977240	And it's a trick of the mind, which is one of the reasons why we say magic.
979120	987980	it was always there but because of the limitations of the human it wasn't seen it wasn't perceived
990480	992040	it wasn't possible
995220	997980	and just the relinquishing of those limitations
1000320	1006140	suddenly it's like oh my gosh I didn't even realize that that was even a remote
1009440	1012940	possibility. It's just opening and receiving.
1017160	1025180	This is also where the language of miracles lives and there's a slight difference or variation in
1027160	1036040	magic versus miracle. With magic it's basically just a light turning on and you can see the room
1037320	1041120	with miracle there's a frequency that's instilled
1043280	1050100	that wasn't possible to be instilled because of the blocks and limitations that were there
1052340	1061320	and suddenly a whole new portal a whole new world a whole new existence opens up as a result of that
1064300	1071280	and these spaces of surrender are the spaces of magic and miracles
1075680	1082020	so just taking a moment to really root into the wisdom root into
1084720	1086200	the intelligence
1088060	1089840	that is here for you
1091320	1096860	within the natural cycles of the moon and all its phases
1111460	1114560	and when you're ready just opening your eyes
